RecordID,PointServer,CountDistinct_PointNumber,Origin X,Origin Y,P1 Score,P2 Score,P1 Next Score,P2 Next Score,End X,End Y
000001,1,2,-3,1,40,0,0,0,-3,0
000002,1,1,-3,1,40,0,40,15,-2,1
000003,1,6,-2,1,40,15,0,0,-2,0
000004,1,3,-2,1,40,15,40,30,-1,1
000005,1,1,-2,2,30,0,30,15,-1,2
000006,1,3,-2,2,30,0,40,0,-3,1
000007,1,5,-1,1,40,30,0,0,-1,0
000008,1,3,-1,1,40,30,40,40,0,1
000009,1,4,-1,2,30,15,30,30,0,2
000010,1,8,-1,2,30,15,40,15,-2,1
000011,1,5,-1,3,15,0,15,15,0,3
000012,1,4,-1,3,15,0,30,0,-2,2
000013,1,4,-0.5,0.5,AD,40,0,0,-0.5,0
000014,1,3,-0.5,0.5,AD,40,40,40,0,1
000015,1,4,0,1,40,40,40,AD,0.5,0.5
000016,1,7,0,1,40,40,AD,40,-0.5,0.5
000017,1,2,0,2,30,30,30,40,1,1
000018,1,5,0,2,30,30,40,30,-1,1
000019,1,4,0,3,15,15,15,30,1,2
000020,1,11,0,3,15,15,30,15,-1,2
000021,1,13,0,4,0,0,0,15,1,3
000022,1,8,0,4,0,0,15,0,-1,3
000023,1,3,0.5,0.5,40,AD,0,0,0.5,0
000024,1,1,0.5,0.5,40,AD,40,40,0,1
000025,1,1,1,1,30,40,0,0,1,0
000026,1,4,1,1,30,40,40,40,0,1
000027,1,2,1,2,15,30,15,40,2,1
000028,1,3,1,2,15,30,30,30,0,2
000029,1,3,1,3,0,15,0,30,2,2
000030,1,10,1,3,0,15,15,15,0,3
000031,1,1,2,1,15,40,0,0,2,0
000032,1,3,2,1,15,40,30,40,1,1
000033,1,2,2,2,0,30,0,40,3,1
000034,1,1,2,2,0,30,15,30,1,2
000035,1,2,3,1,0,40,15,40,2,1
000036,2,1,-3,1,40,0,40,15,-2,1
000037,2,1,-2,1,40,15,0,0,-2,0
000038,2,1,-2,1,40,15,40,30,-1,1
000039,2,4,-2,2,30,0,30,15,-1,2
000040,2,1,-2,2,30,0,40,0,-3,1
000041,2,1,-1,1,40,30,0,0,-1,0
000042,2,5,-1,1,40,30,40,40,0,1
000043,2,7,-1,2,30,15,30,30,0,2
000044,2,1,-1,2,30,15,40,15,-2,1
000045,2,4,-1,3,15,0,15,15,0,3
000046,2,5,-1,3,15,0,30,0,-2,2
000047,2,3,-0.5,0.5,AD,40,0,0,-0.5,0
000048,2,7,-0.5,0.5,AD,40,40,40,0,1
000049,2,14,0,1,40,40,40,AD,0.5,0.5
000050,2,10,0,1,40,40,AD,40,-0.5,0.5
000051,2,8,0,2,30,30,30,40,1,1
000052,2,5,0,2,30,30,40,30,-1,1
000053,2,7,0,3,15,15,15,30,1,2
000054,2,4,0,3,15,15,30,15,-1,2
000055,2,13,0,4,0,0,0,15,1,3
000056,2,10,0,4,0,0,15,0,-1,3
000057,2,6,0.5,0.5,40,AD,0,0,0.5,0
000058,2,8,0.5,0.5,40,AD,40,40,0,1
000059,2,6,1,1,30,40,0,0,1,0
000060,2,4,1,1,30,40,40,40,0,1
000061,2,4,1,2,15,30,15,40,2,1
000062,2,6,1,2,15,30,30,30,0,2
000063,2,7,1,3,0,15,0,30,2,2
000064,2,7,1,3,0,15,15,15,0,3
000065,2,4,2,1,15,40,0,0,2,0
000066,2,2,2,1,15,40,30,40,1,1
000067,2,4,2,2,0,30,0,40,3,1
000068,2,3,2,2,0,30,15,30,1,2
000069,2,2,3,1,0,40,0,0,3,0
000070,2,2,3,1,0,40,15,40,2,1
