Player Name,Player Value
Erling Haaland,€180.00m
Bukayo Saka,€120.00m
Declan Rice,€110.00m
Rodri,€110.00m
Phil Foden,€110.00m
Julián Álvarez,€90.00m
Martin Ødegaard,€90.00m
Moisés Caicedo,€90.00m
Bruno Guimarães,€85.00m
Gabriel Martinelli,€85.00m
Enzo Fernández,€85.00m
Bernardo Silva,€100.00m
Rúben Dias,€80.00m
Josko Gvardiol,€80.00m
Christopher Nkunku,€80.00m
Dominik Szoboszlai,€75.00m
William Saliba,€75.00m
Luis Díaz,€75.00m
Trent Alexander-Arnold,€110.00m
Gabriel Jesus,€80.00m
Bruno Fernandes,€90.00m
Alexander Isak,€70.00m
Marcus Rashford,€85.00m
James Maddison,€70.00m
Jack Grealish,€100.00m
Lucas Paquetá,€65.00m
Evan Ferguson,€65.00m
Cristian Romero,€65.00m
Mohamed Salah,€150.00m
Rasmus Højlund,€65.00m
Alexis Mac Allister,€65.00m
Jérémy Doku,€65.00m
Darwin Núñez,€70.00m
Gabriel Magalhães,€60.00m
Douglas Luiz,€60.00m
Kevin De Bruyne,€150.00m
Moussa Diaby,€60.00m
João Palhinha,€60.00m
Ollie Watkins,€60.00m
Kai Havertz,€90.00m
Matheus Nunes,€55.00m
Dejan Kulusevski,€55.00m
Ben White,€55.00m
Levi Colwill,€55.00m
Roméo Lavia,€50.00m
Heung-min Son,€90.00m
Lisandro Martínez,€50.00m
Cody Gakpo,€60.00m
Jarrod Bowen,€50.00m
Reece James,€70.00m
Amadou Onana,€50.00m
Diogo Jota,€60.00m
Kaoru Mitoma,€50.00m
Michael Olise,€50.00m
Anthony Gordon,€50.00m
Eberechi Eze,€48.00m
Brennan Johnson,€48.00m
Pedro Porro,€45.00m
Cole Palmer,€45.00m
Mason Mount,€75.00m
Sven Botman,€45.00m
Micky van de Ven,€45.00m
Mohammed Kudus,€45.00m
Raheem Sterling,€160.00m
Pau Torres,€50.00m
Pedro Neto,€42.00m
Jacob Ramsey,€42.00m
Oleksandr Zinchenko,€42.00m
Axel Disasi,€42.00m
Conor Gallagher,€42.00m
Manuel Akanji,€42.00m
Joelinton,€42.00m
André Onana,€45.00m
Mykhaylo Mudryk,€60.00m
Ederson,€70.00m
Morgan Gibbs-White,€40.00m
Destiny Udogie,€40.00m
Jurrien Timber,€45.00m
Sandro Tonali,€60.00m
Nathan Aké,€42.00m
Bryan Mbeumo,€38.00m
Mateo Kovacic,€45.00m
Leandro Trossard,€38.00m
James Ward-Prowse,€38.00m
Rico Lewis,€38.00m
Boubacar Kamara,€38.00m
Nayef Aguerd,€38.00m
Luke Shaw,€42.00m
Marc Guéhi,€38.00m
Ibrahima Konaté,€45.00m
John Stones,€60.00m
Ezri Konsa,€35.00m
Tino Livramento,€35.00m
João Pedro,€35.00m
Rodrigo Bentancur,€50.00m
Joachim Andersen,€35.00m
Antony,€75.00m
Ryan Gravenberch,€35.00m
Richarlison,€65.00m
Ivan Toney,€50.00m
